"filename", "language", "PHP", "JavaScript", "JSON with Comments", "CSS", "SCSS", "JSON", "XML", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 2, 10
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_pages.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 2, 15
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\_plugins.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 2, 18
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.components.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 11, 4, 22
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.core.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.extra-components.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 11, 4, 22
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.light.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 11, 4, 17
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.pages.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\parts\adminlte.plugins.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 11, 4, 22
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_bootstrap-slider.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 8, 59
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 164, 0, 0, 0, 0, 13, 28, 205
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_daterangepicker.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 12, 70
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_fullcalendar.scss", "SCSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 6, 24, 134
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_icheck-bootstrap.scss", "SCSS", 0, 0, 0, 0, 68, 0, 0, 0, 0, 7, 13, 88
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_jqvmap.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 3, 23
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_mapael.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 10, 71
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 8, 66
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_mixins.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 5, 12, 75
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_pace.scss", "SCSS", 0, 0, 0, 0, 170, 0, 0, 0, 0, 4, 38, 212
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_select2.scss", "SCSS", 0, 0, 0, 0, 248, 0, 0, 0, 0, 23, 57, 328
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_sweetalert2.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 10, 52
"c:\xampp\htdocs\inmuebles\admin\views\build\scss\plugins\_toastr.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 31, 9, 61
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\adminlte.css", "CSS", 0, 0, 0, 43649, 0, 0, 0, 0, 0, 21, 9342, 53012
